time(s),robot.pos.x(m),robot.pos.y(m),robot.pos.rz(rad),robot.vel.x(m),robot.vel.y(m),robot.vel.rz(rad),decawave.x,decawave.y
81520.87, -6.4920512, -1.0053392, -1.5738495, 0, 0, 0, -6.5, -1
81520.898, -6.49225, -1.0052057, -1.5703436, 0, 0, 0, -6.5, -1
81520.925, -6.4924437, -1.0050756, -1.5661721, 0, 0, 0, -6.5, -1
81520.949, -6.4926326, -1.0018237, -1.5599919, 0, 0, 0, -6.5, -1
81520.975, -6.4928168, -1.0017781, -1.5631237, 0, 0, 0, -6.5, -1
81521, -6.4928168, -1.0017781, -1.5631237, 0, 0, 0, -6.5, -1
81521.025, -6.4929964, -1.0017336, -1.5639388, 0, 0, 0, -6.5, -1
81521.054, -6.4962965, -1.0016903, -1.5672833, 0, 0, 0, -6.5, -1
81521.076, -6.4963891, -0.99852302, -1.5678821, 0, 0, 0, -6.5, -1
81521.104, -6.4963891, -0.99852302, -1.5678821, 0, 0, 0, -6.5, -1
81521.132, -6.4964793, -0.99855995, -1.5677619, 0, 0, 0, -6.5, -1
81521.161, -6.4965674, -0.99859595, -1.5669297, 0, 0, 0, -6.5, -1
81521.188, -6.4966532, -0.99863105, -1.5673804, 0, 0, 0, -6.5, -1
81521.214, -6.4967368, -0.99866527, -1.5661078, 0, 0, 0, -6.5, -1
81521.24, -6.4968184, -0.99869864, -1.5660475, 0, 0, 0, -6.5, -1
81521.268, -6.4968184, -0.99869864, -1.5660475, 0, 0, 0, -6.5, -1
81521.293, -6.496898, -0.99560618, -1.5648651, 0, 0, 0, -6.5, -1
81521.322, -6.4938505, -0.99571602, -1.5662465, 0, 0, 0, -6.5, -1
81521.345, -6.4940042, -0.99582312, -1.5657082, 0, 0, 0, -6.5, -1
81521.372, -6.4941541, -0.99592754, -1.5638608, 0, 0, 0, -6.5, -1
81521.4, -6.4941541, -0.99592754, -1.5638608, 0, 0, 0, -6.5, -1
81521.427, -6.4943003, -0.99290436, -1.5583806, 0, 0, 0, -6.5, -1
81521.455, -6.4944428, -0.99308175, -1.5528532, 0, 0, 0, -6.5, -1
81521.476, -6.4945817, -0.9932547, -1.5524751, 0, 0, 0, -6.5, -1
81521.505, -6.4945817, -0.9932547, -1.5524751, 0, 0, 0, -6.5, -1
81521.53, -6.4978422, -0.99029834, -1.5569244, 0, 0, 0, -6.5, -1
81521.555, -6.4978961, -0.99366588, -1.5567358, 0, 0, 0, -6.5, -1
81521.588, -6.4979487, -0.99694923, -1.5560499, 0, 0, 0, -6.5, -1
81521.611, -6.498, -0.9970255, -1.5585068, 0, 0, 0, -6.5, -1
81521.637, -6.498, -0.9970255, -1.5585068, 0, 0, 0, -6.5, -1
81521.665, -6.4918, -1.0002249, -1.558125, 0, 0, 0, -6.5, -1
81521.695, -6.50138, -1.0127192, -1.5566977, 0, 0, 0, -6.5, -1
81521.728, -6.4982205, -1.0155263, -1.5579475, 0, 0, 0, -6.5, -1
81521.748, -6.498265, -1.0088881, -1.5606787, 0, 0, 0, -6.5, -1
81521.775, -6.4795584, -0.9899159, -1.5616571, 0, 0, 0, -6.5, -1
81521.801, -6.4795584, -0.9899159, -1.5616571, 0, 0, 0, -6.5, -1
81521.828, -6.4925694, -0.990168, -1.5614187, 0, 0, 0, -6.5, -1
81521.859, -6.4896302, -0.9872888, -1.5616076, 0, 0, 0, -6.5, -1
81521.878, -6.4836394, -0.99073158, -1.5643603, 0, 0, 0, -6.5, -1
81521.906, -6.4934234, -0.98783829, -1.5651991, 0, 0, 0, -6.5, -1
81521.933, -6.4934234, -0.98783829, -1.5651991, 0, 0, 0, -6.5, -1
81521.96, -6.4935878, -0.98189234, -1.5655098, 0, 0, 0, -6.5, -1
81521.989, -6.4937481, -0.98859503, -1.564566, 0, 0, 0, -6.5, -1
81522.014, -6.5064044, -0.98888015, -1.564888, 0, 0, 0, -6.5, -1
81522.039, -6.5031193, -0.97353315, -1.560446, 0, 0, 0, -6.5, -1
81522.064, -6.5031193, -0.97353315, -1.560446, 0, 0, 0, -6.5, -1
81522.092, -6.4967913, -0.97419482, -1.5626838, 0, 0, 0, -6.5, -1
81522.126, -6.4999966, -0.97171495, -1.558587, 0, 0, 0, -6.5, -1
81522.146, -6.4999966, -0.95992207, -1.558093, 0, 0, 0, -6.5, -1
81522.172, -6.4968717, -0.96717402, -1.5635268, 0, 0, 0, -6.5, -1
81522.199, -6.4968717, -0.96717402, -1.5635268, 0, 0, 0, -6.5, -1
81522.225, -6.4875749, -0.97111967, -1.5616924, 0, 0, 0, -6.5, -1
81522.252, -6.4878856, -0.97496668, -1.557753, 0, 0, 0, -6.5, -1
81522.276, -6.4850634, -0.97246751, -1.5572578, 0, 0, 0, -6.5, -1
81522.301, -6.4850634, -0.97246751, -1.5572578, 0, 0, 0, -6.5, -1
81522.328, -6.4854368, -0.97315583, -1.5616463, 0, 0, 0, -6.5, -1
81522.353, -6.4858009, -0.97070193, -1.5615975, 0, 0, 0, -6.5, -1
81522.384, -6.4799059, -0.95893438, -1.5622728, 0, 0, 0, -6.5, -1
81522.408, -6.4897832, -0.97246102, -1.5597039, 0, 0, 0, -6.5, -1
81522.434, -6.4897832, -0.97246102, -1.5597039, 0, 0, 0, -6.5, -1
81522.461, -6.4869137, -0.9700245, -1.5581689, 0, 0, 0, -6.5, -1
81522.488, -6.4966158, -0.96764888, -1.561206, 0, 0, 0, -6.5, -1
81522.513, -6.4935754, -0.97470766, -1.5597757, 0, 0, 0, -6.5, -1
81522.538, -6.4935754, -0.97470766, -1.5597757, 0, 0, 0, -6.5, -1
81522.565, -6.499986, -0.96908997, -1.5612818, 0, 0, 0, -6.5, -1
81522.592, -6.4968614, -0.98861272, -1.5598395, 0, 0, 0, -6.5, -1
81522.62, -6.4938149, -0.9857724, -1.5607862, 0, 0, 0, -6.5, -1
81522.649, -6.4908445, -0.98300309, -1.5623448, 0, 0, 0, -6.5, -1
81522.676, -6.5035734, -0.98655302, -1.5631089, 0, 0, 0, -6.5, -1
81522.701, -6.5035734, -0.98655302, -1.5631089, 0, 0, 0, -6.5, -1
81522.726, -6.509734, -0.99313919, -1.5654741, 0, 0, 0, -6.5, -1
81522.754, -6.5032407, -1.0058107, -1.5687763, 0, 0, 0, -6.5, -1
81522.782, -6.5094097, -1.0119154, -1.5670097, 0, 0, 0, -6.5, -1
81522.807, -6.5029244, -1.0241176, -1.565306, 0, 0, 0, -6.5, -1
